Threshold,False Negatives,False Positives,Expected Cost
0.04428931451612903,10,756,163400
0.044642857142857144,10,755,163250
0.044774242424242425,10,754,163100
0.044807692307692305,10,753,162950
0.044937500000000005,10,752,162800
0.045,10,751,162650
0.045256343750580845,10,738,160700
0.04587676772693081,10,737,160550
0.04657308377896613,10,736,160400
0.04659054487179487,10,735,160250
0.04670454545454545,10,734,160100
0.04721064814814815,10,733,159950
0.04734375,10,732,159800
0.04735294117647059,10,730,159500
0.0473828125,10,729,159350
0.047418561996459246,10,728,159200
0.0475,10,727,159050
0.047721362229102164,10,714,157100
0.04834935897435898,10,713,156950
0.04943392235926629,10,712,156800
0.049749999999999996,10,711,156650
0.049816364447733436,10,710,156500
0.04984375,10,709,156350
0.04990373383395912,10,708,156200
0.05,10,707,156050
0.050333751329304885,10,698,154700
0.050446594179962216,10,697,154550
0.051558068574532774,10,696,154400
0.052226137706855795,10,695,154250
0.05231493506493507,10,694,154100
0.0525,10,693,153950
0.05324234346642468,10,685,152750
0.0533125,10,684,152600
0.05336986490212297,10,683,152450
0.05337322835173084,10,682,152300
0.05348214285714285,10,681,152150
0.05368744580701103,10,680,152000
0.054023852116875375,10,679,151850
0.05445652173913044,10,678,151700
0.05473983253588516,10,677,151550
0.05484375,10,676,151400
0.055,10,675,151250
0.05543561364114323,10,667,150050
0.056055314290772665,10,666,149900
0.05609587104072398,11,666,154900
0.056206772394272395,11,665,154750
0.05627320954907161,11,664,154600
0.05655794023294557,11,663,154450
0.05675009935082201,11,662,154300
0.05714285714285714,11,661,154150
0.057173953864762685,11,660,154000
0.057300000000000004,11,659,153850
0.05734183235025805,11,658,153700
0.05738095238095238,11,657,153550
0.057416666666666664,11,656,153400
0.0575,11,655,153250
0.05759995464917258,11,648,152200
0.05787224560294542,11,647,152050
0.057908301921913534,12,647,157050
0.05812709953059007,12,646,156900
0.05876551724137931,13,646,161900
0.058766531541149546,13,645,161750
0.05969312941379763,13,644,161600
0.05969387755102041,13,643,161450
0.05976923076923077,13,642,161300
0.059802631578947364,13,641,161150
0.05991666666666666,13,640,161000
0.05991776315789474,13,639,160850
0.06,13,638,160700
0.06105263157894737,13,624,158600
0.06148776520803739,13,623,158450
0.06184782608695652,13,622,158300
0.061853688708951866,13,621,158150
0.062115384615384614,13,620,158000
0.06225,13,619,157850
0.06241758241758242,13,618,157700
0.0625,13,617,157550
0.06286057692307692,13,614,157100
0.06346153846153846,13,613,156950
0.06387994714014639,13,612,156800
0.06402777777777778,13,611,156650
0.065,13,610,156500
0.06536842105263158,13,600,155000
0.06589461518358682,13,599,154850
0.0659450541826686,13,598,154700
0.06598016781083144,13,597,154550
0.06705592105263157,13,596,154400
0.06722139303482587,13,595,154250
0.0673686882062147,13,594,154100
0.0675,13,593,153950
0.06780769887808802,13,584,152600
0.06782949700653564,13,583,152450
0.06823493103798187,13,582,152300
0.06833910831268807,13,581,152150
0.06847909190201279,13,580,152000
0.06919491525423728,13,579,151850
0.06966666666666667,13,578,151700
0.06967560943584532,13,577,151550
0.07,13,576,151400
0.07019039408866995,13,572,150800
0.0725,13,571,150650
0.07268500717226152,13,569,150350
0.07292906209732246,13,568,150200
0.0730446497946498,13,567,150050
0.07306818181818181,13,566,149900
0.07308526731279984,13,565,149750
0.07322875874125874,13,564,149600
0.07325992833452219,13,563,149450
0.0733125,13,562,149300
0.07383824946994184,13,561,149150
0.07464743589743589,13,560,149000
0.07489755129351487,13,559,148850
0.075,13,558,148700
0.07542140151515152,13,550,147500
0.07544093898272947,13,549,147350
0.0755287270729875,13,548,147200
0.07670652576937337,13,547,147050
0.07705576759966073,13,546,146900
0.07728286338836518,13,545,146750
0.0775,13,544,146600
0.07777218749117622,13,541,146150
0.07822490268050936,13,540,146000
0.0789655172413793,13,539,145850
0.07916666666666666,13,538,145700
0.07980021573713525,13,537,145550
0.07983534557547715,13,536,145400
0.07995226446648983,13,535,145250
0.08,13,534,145100
0.08002808181786542,13,532,144800
0.08064206941953354,13,531,144650
0.08089139618614433,13,530,144500
0.08089963815115672,13,529,144350
0.08205613951266125,13,528,144200
0.08226581880941358,13,527,144050
0.08232142857142857,13,526,143900
0.0824175824175824,13,525,143750
0.08245488722762101,13,524,143600
0.0825,13,523,143450
0.0827925401458943,13,521,143150
0.08295337616604374,13,520,143000
0.08304901960784314,13,519,142850
0.08315435473626229,13,518,142700
0.0831818385613669,13,517,142550
0.08367754878660014,13,516,142400
0.08415051434783326,13,515,142250
0.08485880428303297,13,514,142100
0.085,13,513,141950
0.0850235033807505,13,510,141500
0.08512631026504489,13,509,141350
0.08519227638031067,13,508,141200
0.08572973128820205,14,508,146200
0.08595535285959739,14,507,146050
0.08624871963479559,14,506,145900
0.086875,14,505,145750
0.08687973484848484,14,504,145600
0.0873076923076923,14,503,145450
0.08741935483870968,14,502,145300
0.0875,14,501,145150
0.08816469352808101,14,497,144550
0.08829364421821469,14,496,144400
0.08879979646113662,14,495,144250
0.08958059413001208,14,494,144100
0.09,14,493,143950
0.09057500774025923,14,486,142900
0.09079577662253747,14,485,142750
0.09102950948111711,14,484,142600
0.09116760179668619,14,483,142450
0.09207271344927728,14,482,142300
0.09223341616898008,14,481,142150
0.09230519480519479,14,480,142000
0.0925,14,479,141850
0.09312481007203903,14,477,141550
0.09370535714285716,14,476,141400
0.0937270541958042,14,475,141250
0.09377687193458203,14,474,141100
0.09382658871486271,14,473,140950
0.09385381105873376,14,472,140800
0.0943020459683148,14,471,140650
0.09494565217391304,14,470,140500
